"Name","Created","Runtime","Hostname","Notes","GPU Type","GPU Count","State","Tags","cuda_graph_impl","enable_cuda_graph","encoder_num_layers","ffn_hidden_size","hidden_size","kv_channels","micro_batch_size","num_attention_heads","num_layers","num_query_groups","overlap_grad_reduce","overlap_param_gather","slurm_job_name","te_rng_tracker","wandb_save_dir"
"throughput-8b-1n-2411883","2026-05-27T21:42:54.000Z","1156","nid006853","-","NVIDIA GH200 120GB","4","crashed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","false","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2411843","2026-05-27T21:37:13.000Z","66","nid006037","-","NVIDIA GH200 120GB","4","failed","","none","false","32","14336","4096","128","2","32","32","8","true","false","gipfel-throughput-8b-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2411717","2026-05-27T21:30:46.000Z","34","nid007643","-","NVIDIA GH200 120GB","4","failed","","","","32","14336","4096","128","2","32","32","8","true","false","","","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2411522","2026-05-27T21:01:27.000Z","1440","nid007356","-","NVIDIA GH200 120GB","4","crashed","","","","32","14336","4096","128","2","32","32","8","true","false","","","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2410491","2026-05-27T18:22:06.000Z","45","nid006280","-","NVIDIA GH200 120GB","4","crashed","","","","32","14336","4096","128","2","32","32","8","true","false","","","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2344465","2026-05-22T12:32:29.000Z","1240","nid007585","-","NVIDIA GH200 120GB","4","finished","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","false","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-125m-1n-2344464","2026-05-22T12:32:28.000Z","277","nid007091","-","NVIDIA GH200 120GB","4","finished","","transformer_engine","false","12","2048","768","64","16","12","12","4","true","false","gipfel-throughput-125m-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-125m-1n"
"throughput-125m-1n-2342424","2026-05-22T08:15:45.000Z","316","nid006159","-","NVIDIA GH200 120GB","4","finished","","transformer_engine","false","12","2048","768","64","16","12","12","4","true","false","gipfel-throughput-125m-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-125m-1n"
"throughput-8b-1n-2342423","2026-05-22T07:40:48.000Z","1219","nid006710","-","NVIDIA GH200 120GB","4","finished","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","false","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2340395","2026-05-21T21:54:54.000Z","32","nid007109","-","NVIDIA GH200 120GB","4","failed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","false","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2339958","2026-05-21T21:04:38.000Z","23","nid007205","-","NVIDIA GH200 120GB","4","failed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","false","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2338955","2026-05-21T19:34:24.000Z","911","nid006621","-","NVIDIA GH200 120GB","4","finished","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","false","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2338928","2026-05-21T19:24:36.000Z","70","nid006309","-","NVIDIA GH200 120GB","4","failed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2336220","2026-05-21T15:53:37.000Z","22","nid007485","-","NVIDIA GH200 120GB","4","failed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2334388","2026-05-21T11:05:32.000Z","28","nid007086","-","NVIDIA GH200 120GB","4","failed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2333112","2026-05-21T08:17:03.000Z","28","nid006097","-","NVIDIA GH200 120GB","4","failed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2331827","2026-05-21T07:41:11.000Z","30","nid006759","-","NVIDIA GH200 120GB","4","failed","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2329200","2026-05-21T01:04:41.000Z","1225","nid007576","-","NVIDIA GH200 120GB","4","finished","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2323180","2026-05-20T17:00:14.000Z","1237","nid007463","-","NVIDIA GH200 120GB","4","finished","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2317262","2026-05-19T23:42:11.000Z","1227","nid005425","-","NVIDIA GH200 120GB","4","finished","","transformer_engine","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2299427","2026-05-19T08:06:51.000Z","127","nid007253","-","NVIDIA GH200 120GB","4","crashed","","local","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2297437","2026-05-18T23:55:47.000Z","1227","nid006862","-","NVIDIA GH200 120GB","4","finished","","none","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2297159","2026-05-18T23:55:06.000Z","1246","nid007422","-","NVIDIA GH200 120GB","4","finished","","none","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2232141","2026-05-14T19:25:39.000Z","1247","nid006232","liger kernerl integration","NVIDIA GH200 120GB","4","finished","","none","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-8b-1n-2229311","2026-05-14T18:30:21.000Z","1267","nid007422","baseline","NVIDIA GH200 120GB","4","finished","","none","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
